study beta se
Akbari_2020 1.10525683138678 0.738646500170181
Bai_T_2020 0.887891257352457 0.432995175611824
Cao_J_2020 1.42551507427317 0.441785350172321
Chen_T_2020 0.587786664902119 0.158242310359102
Fu_L_2020 -0.328504066972036 0.679707724413069
Yuan_M_2020 1.07158361628019 0.360683929945041
