"Study" "beta_orig" "se_orig" "beta_rep" "se_rep" "PRP_MCMC"
"45" 72 0.210707 0.0625 0.04452522 0.06375767 0.0966146038222287
"47" 81 0.2750084 0.1059998 -0.1019894 0.08574929 0.0075156249744851
"50" 87 0.4183734 0.1414214 0.01304619 0.147442 0.0649934121890834
"51" 89 0.1407385 0.2 0.02941318 0.2 0.685147166405192
"52" 93 0.3288232 0.1104315 -0.1359311 0.1221694 0.00728602797893035
"53" 94 0.3589774 0.2 0.2982479 0.1313064 0.772797169446894
"54" 97 0.398045 0.1178511 -0.03695216 0.02594996 0.000599881963236257
"55" 106 0.4020998 0.1740777 -0.2267277 0.1507557 0.00778598993366708
"56" 107 0.2261062 0.1097643 0.1053296 0.08032193 0.393064137062363
"57" 110 0.6247509 0.06008418 0.0914165 0.08421519 0.00622174506663487
"58" 111 0.3466948 0.1360828 0.2297217 0.09325048 0.509555119723295
"59" 112 0.8694385 0.3535534 0.9738801 0.3535534 0.961719803895255
"60" 113 0.8312604 0.09016696 1.004575 0.0758098 0.775428227711324
"61" 114 0.6485508 0.1856953 0.7800413 0.1856953 0.847774707795477
"62" 115 0.5517078 0.1825742 -0.4849359 0.3779645 0.0161727279392108
"63" 116 0.2960774 0.07647191 0.3346884 0.08512565 0.938542810221248
"65" 118 0.2170314 0.09534626 -0.04895731 0.07980869 0.0381063829126955
"66" 120 0.4000597 0.1889822 0.2554128 0.1581139 0.55511152309599
"67" 121 1.262236 0.3333333 1.184923 0.2182179 0.806817142267682
"68" 122 0.9115806 0.4082483 1.608476 0.2581989 0.407323737760799
"69" 124 0.4050486 0.1740777 -0.034293 0.1221694 0.0466371047279106
"70" 127 0.8391288 0.1924501 0.5864088 0.2041241 0.450066010921737
"71" 129 0.3904814 0.2 0.01767675 0.1259882 0.126757490217851
"73" 133 0.4792623 0.2132007 0.4517833 0.1666667 0.859585750918457
"74" 134 0.2131384 0.09365858 0.5495461 0.06551218 0.128642722775242
"75" 135 0.004640053 0.04222003 0.1062895 0.01687875 0.0864352898421973
"76" 136 0.5468414 0.1924501 0.1027149 0.13484 0.0842329890038259
"81" 145 1.017025 0.1154701 0.7804808 0.1690309 0.468377291373235
"82" 146 0.7752218 0.2773501 0.5454237 0.3162278 0.572390068655497
"83" 148 0.19095 0.07198158 -0.03018146 0.06225728 0.0268174326011807
"84" 149 0.19095 0.07198158 0.01828545 0.05652334 0.0776180284017126
"85" 150 0.9129317 0.2886751 0.2105724 0.2425356 0.096320126478978
"86" 151 0.4236611 0.1581139 0.002839806 0.09016696 0.0283892602548362
"87" 153 1.291628 0.4082483 0.1206557 0.4082483 0.0643580371261667
"88" 154 0.4598967 0.1221694 0.1104469 0.2773501 0.253128428122915
"89" 155 0.3205454 0.1414214 -0.03401311 0.1203859 0.0652529562422813
"90" 158 0.3939819 0.164399 0.4372189 0.1042572 0.947585965454893
"91" 161 0.5274668 0.1524986 0.1797488 0.1524986 0.156551958854745
"92" 167 0.685792 0.25 0.2598355 0.2236068 0.241068222924834
