study beta se
Li_Q_2020 1.40118297361364 0.435235492399976
Liu_Jingyuan_2020 1.01884732019925 0.457464126262754
Qin_2020 0.139761942375159 0.185155864127229
Wan_2020 1.17248213723457 0.212428651792465
Wang_Dan_2020 0.476234178996372 0.171669508480211
Zhang_Guqin_2020 1.02961941718116 0.225424873611755
